timestamp, power.draw [W]
2022/11/21 17:02:22.604, 41.87 W
2022/11/21 17:02:22.618, 41.87 W
2022/11/21 17:02:22.631, 41.87 W
2022/11/21 17:02:22.643, 41.67 W
2022/11/21 17:02:22.659, 41.67 W
2022/11/21 17:02:22.671, 41.67 W
2022/11/21 17:02:22.684, 41.67 W
2022/11/21 17:02:22.698, 41.67 W
2022/11/21 17:02:22.711, 41.67 W
2022/11/21 17:02:22.724, 41.67 W
2022/11/21 17:02:22.739, 41.67 W
2022/11/21 17:02:22.751, 41.87 W
2022/11/21 17:02:22.764, 41.87 W
2022/11/21 17:02:22.780, 41.87 W
2022/11/21 17:02:22.793, 41.87 W
2022/11/21 17:02:22.805, 41.87 W
2022/11/21 17:02:22.819, 41.87 W
2022/11/21 17:02:22.832, 41.87 W
2022/11/21 17:02:22.845, 41.57 W
2022/11/21 17:02:22.860, 41.57 W
2022/11/21 17:02:22.873, 41.57 W
2022/11/21 17:02:22.885, 41.57 W
2022/11/21 17:02:22.900, 41.57 W
2022/11/21 17:02:22.913, 41.57 W
2022/11/21 17:02:22.925, 41.57 W
2022/11/21 17:02:22.940, 41.57 W
2022/11/21 17:02:22.953, 41.88 W
2022/11/21 17:02:22.965, 41.88 W
2022/11/21 17:02:22.981, 41.88 W
2022/11/21 17:02:22.994, 41.88 W
2022/11/21 17:02:23.006, 41.88 W
2022/11/21 17:02:23.021, 41.88 W
2022/11/21 17:02:23.033, 41.88 W
2022/11/21 17:02:23.046, 41.57 W
2022/11/21 17:02:23.061, 41.57 W
2022/11/21 17:02:23.074, 41.57 W
2022/11/21 17:02:23.087, 41.57 W
2022/11/21 17:02:23.101, 41.57 W
2022/11/21 17:02:23.114, 41.57 W
2022/11/21 17:02:23.127, 41.57 W
2022/11/21 17:02:23.141, 41.57 W
2022/11/21 17:02:23.154, 41.77 W
2022/11/21 17:02:23.167, 41.77 W
2022/11/21 17:02:23.182, 41.77 W
2022/11/21 17:02:23.195, 41.77 W
2022/11/21 17:02:23.207, 41.77 W
2022/11/21 17:02:23.222, 41.77 W
2022/11/21 17:02:23.235, 41.77 W
2022/11/21 17:02:23.248, 41.57 W
2022/11/21 17:02:23.263, 41.57 W
2022/11/21 17:02:23.276, 41.57 W
2022/11/21 17:02:23.289, 41.57 W
2022/11/21 17:02:23.303, 41.57 W
2022/11/21 17:02:23.315, 41.57 W
2022/11/21 17:02:23.328, 41.57 W
2022/11/21 17:02:23.343, 41.57 W
2022/11/21 17:02:23.356, 41.77 W
2022/11/21 17:02:23.368, 41.77 W
2022/11/21 17:02:23.383, 41.77 W
2022/11/21 17:02:23.396, 41.77 W
2022/11/21 17:02:23.409, 41.77 W
2022/11/21 17:02:23.424, 41.77 W
2022/11/21 17:02:23.436, 41.77 W
2022/11/21 17:02:23.449, 41.67 W
2022/11/21 17:02:23.464, 41.67 W
2022/11/21 17:02:23.477, 41.67 W
2022/11/21 17:02:23.490, 41.67 W
2022/11/21 17:02:23.504, 41.67 W
2022/11/21 17:02:23.517, 41.67 W
2022/11/21 17:02:23.529, 41.67 W
2022/11/21 17:02:23.544, 41.67 W
2022/11/21 17:02:23.557, 41.76 W
2022/11/21 17:02:23.570, 41.76 W
2022/11/21 17:02:23.585, 41.76 W
2022/11/21 17:02:23.597, 41.76 W
2022/11/21 17:02:23.610, 41.76 W
2022/11/21 17:02:23.625, 41.76 W
2022/11/21 17:02:23.638, 41.76 W
2022/11/21 17:02:23.650, 41.57 W
2022/11/21 17:02:23.666, 41.57 W
2022/11/21 17:02:23.678, 41.57 W
2022/11/21 17:02:23.691, 41.57 W
2022/11/21 17:02:23.705, 41.57 W
2022/11/21 17:02:23.718, 41.57 W
2022/11/21 17:02:23.731, 41.57 W
2022/11/21 17:02:23.746, 41.57 W
2022/11/21 17:02:23.758, 41.77 W
2022/11/21 17:02:23.771, 41.77 W
2022/11/21 17:02:23.786, 41.77 W
2022/11/21 17:02:23.799, 41.77 W
2022/11/21 17:02:23.812, 41.77 W
2022/11/21 17:02:23.827, 41.77 W
2022/11/21 17:02:23.839, 41.77 W
2022/11/21 17:02:23.852, 41.66 W
2022/11/21 17:02:23.867, 41.66 W
2022/11/21 17:02:23.880, 41.66 W
2022/11/21 17:02:23.892, 41.66 W
2022/11/21 17:02:23.908, 41.66 W
2022/11/21 17:02:23.920, 41.66 W
2022/11/21 17:02:23.933, 41.66 W
2022/11/21 17:02:23.947, 41.66 W
2022/11/21 17:02:23.960, 41.87 W
2022/11/21 17:02:23.973, 41.87 W
2022/11/21 17:02:23.988, 41.87 W
2022/11/21 17:02:24.000, 41.87 W
2022/11/21 17:02:24.013, 41.87 W
2022/11/21 17:02:24.028, 41.87 W
2022/11/21 17:02:24.041, 41.87 W
2022/11/21 17:02:24.053, 41.67 W
2022/11/21 17:02:24.069, 41.67 W
2022/11/21 17:02:24.081, 41.67 W
2022/11/21 17:02:24.094, 41.67 W
2022/11/21 17:02:24.109, 41.67 W
2022/11/21 17:02:24.122, 41.67 W
2022/11/21 17:02:24.135, 41.67 W
2022/11/21 17:02:24.148, 41.57 W
2022/11/21 17:02:24.163, 41.57 W
2022/11/21 17:02:24.176, 41.57 W
2022/11/21 17:02:24.189, 41.57 W
2022/11/21 17:02:24.201, 41.57 W
2022/11/21 17:02:24.214, 41.57 W
2022/11/21 17:02:24.229, 41.57 W
2022/11/21 17:02:24.241, 41.57 W
